Artist,Views,Likes,Comments
Ed Sheeran,15460207769.0,83543319.0,2520822.0
CoComelon,14601671211.0,41713913.0,0.0
Katy Perry,13120632075.0,63067090.0,3153267.0
Charlie Puth,12167594191.0,86336925.0,3723796.0
Luis Fonsi,11628113031.0,66908489.0,4703428.0
Justin Bieber,10991060236.0,78584348.0,7259120.0
Daddy Yankee,10871926842.0,65518171.0,4672128.0
Bruno Mars,10240919227.0,59616146.0,1924316.0
Macklemore & Ryan Lewis,10122055560.0,66041410.0,2425190.0
Coldplay,9997277884.0,63157895.0,2124370.0
Calvin Harris,9758476139.0,44484050.0,1197964.0
BLACKPINK,9392961989.0,132302505.0,19605027.0
DJ Snake,9180268355.0,67775831.0,2098068.0
Eminem,9119323710.0,65513534.0,2919054.0
Imagine Dragons,9093785238.0,72274477.0,2004432.0
Enrique Iglesias,8860270608.0,31055477.0,897918.0
Shakira,8818139786.0,55963035.0,2857116.0
Fifth Harmony,8574436475.0,47444622.0,1778673.0
Wiz Khalifa,8477702349.0,59448137.0,2720772.0
J Balvin,8464877693.0,39022350.0,1008741.0
